"Etablissement";"Ville";"Code Etablissement";"Commune";"Secteur Public=PU Prive=PR";"Effectif Presents serie L";"Effectif Presents serie ES";"Effectif Presents serie S";"Effectif Presents serie STG";"Effectif Presents serie STI";"Effectif Presents serie STL";"Effectif Presents serie ST2S";"Effectif Presents serie Musiq Danse";"Effectif Presents serie Hotellerie";"Effectif Presents Total series";"Taux Brut de Reussite serie L";"Taux Brut de Reussite serie ES";"Taux Brut de Reussite serie S";"Taux Brut de Reussite serie STG";"Taux Brut de Reussite serie STI";"Taux Brut de Reussite serie STL";"Taux Brut de Reussite serie ST2S";"Taux Brut de Reussite serie Musiq Danse";"Taux Brut de Reussite serie Hotellerie";"Taux Brut de Reussite Total series";"Taux Reussite Attendu/Acad serie L";"Taux Reussite Attendu/Acad serie ES";"Taux Reussite Attendu/Acad serie S";"Taux Reussite Attendu/Acad serie STG";"Taux Reussite Attendu/Acad serie STI";"Taux Reussite Attendu/Acad serie STL";"Taux Reussite Attendu/Acad serie ST2S";"Taux Reussite Attendu/Acad serie Musiq Danse";"Taux Reussite Attendu/Acad serie Hotellerie";"Taux Reussite Attendu/Acad Total series";"Taux Reussite Attendu/France serie L";"Taux Reussite Attendu/France serie ES";"Taux Reussite Attendu/France serie S";"Taux Reussite Attendu/France serie STG";"Taux Reussite Attendu/France serie STI";"Taux Reussite Attendu/France serie STL";"Taux Reussite Attendu/France serie ST2S";"Taux Reussite Attendu/France serie Musiq Danse";"Taux Reussite Attendu/France serie Hotellerie";"Taux Reussite Attendu/France Total series";"Sructure pedagogique en 5 groupes";"%Bachel/sort. 2de+1re+Term. Etab.";"%Bachel/sort. Terminales Etab.";"%Bachel/sort. 2de+1re+Term. Acad.";"%Bachel/sort. Terminales Acad.";"%Bachel/sort. 2de+1re+Term. France";"%Bachel/sort. Terminales France";"Effectif de seconde";"Effectif de premiere";"Taux acces Brut seconde-BAC";"Taux acces Attendu/Acad seconde-BAC";"Taux acces Attendu/France seconde-BAC";"Taux acces Brut premiere-BAC";"Taux acces Attendu/Acad premiere-BAC";"Taux acces Attendu/France premiere-BAC";"Academie";"Departement"
"LYCEE MARIE MADELEINE FOURCADE";"GARDANNE";"0133244F";"13041";"PU";"36";"107";"117";"82";"52";" ";" ";" ";" ";"394";"69";"93";"93";"87";"83";".";".";".";".";"88";"87";"95";"93";"90";"80";".";".";".";".";"90";"84";"93";"93";"88";"86";".";".";".";".";"90";"2";"78";"93";"72";"92";"75";"92";"489";"359";"76";"72";"73";"87";"88";"87";"AIX-MARSEILLE";"BOUCHES DU RHONE"
"LYCEE SAINT JEAN DE GARGUIER";"GEMENOS";"0133822J";"13042";"PR";"18";"22";"29";" ";" ";" ";" ";" ";" ";"69";"100";"100";"97";".";".";".";".";".";".";"99";"95";"92";"96";".";".";".";".";".";".";"95";"92";"94";"95";".";".";".";".";".";".";"94";"1";"76";"99";"72";"92";"73";"96";"124";"110";"82";"74";"67";"93";"92";"90";"AIX-MARSEILLE";"BOUCHES DU RHONE"
"LYCEE ST LOUIS - STE MARIE";"GIGNAC LA NERTHE";"0133314G";"13043";"PR";"27";"50";"76";" ";"26";" ";" ";" ";" ";"179";"96";"94";"97";".";"100";".";".";".";".";"97";"94";"94";"96";".";"88";".";".";".";".";"94";"92";"94";"96";".";"90";".";".";".";".";"94";"3";"75";"97";"72";"92";"72";"92";"269";"219";"75";"77";"76";"90";"92";"91";"AIX-MARSEILLE";"BOUCHES DU RHONE"
"LYCEE ARTHUR RIMBAUD";"ISTRES CEDEX";"0132495S";"13047";"PU";"39";"80";"139";"80";" ";" ";" ";" ";" ";"338";"90";"88";"77";"90";".";".";".";".";".";"84";"91";"90";"89";"89";".";".";".";".";".";"90";"90";"87";"89";"85";".";".";".";".";".";"88";"2";"68";"89";"72";"92";"75";"92";"519";"324";"66";"70";"72";"85";"88";"87";"AIX-MARSEILLE";"BOUCHES DU RHONE"
"LYCEE AUGUSTE ET LOUIS LUMIERE (GENERAL ET TECHNO.)";"LA CIOTAT";"0131747D";"13028";"PU";"38";"70";"90";"48";" ";" ";"31";" ";" ";"277";"84";"86";"77";"73";".";".";"71";".";".";"79";"82";"88";"88";"77";".";".";"83";".";".";"85";"84";"86";"87";"82";".";".";"86";".";".";"86";"2";"80";"88";"72";"92";"75";"92";"240";"253";"77";"70";"70";"82";"86";"84";"AIX-MARSEILLE";"BOUCHES DU RHONE"
"LYCEE MEDITERRANEE (DE LA ) (GENERAL ET TECHNO.)";"LA CIOTAT";"0133406G";"13028";"PU";" ";"47";"80";" ";"36";"15";" ";" ";" ";"178";".";"94";"91";".";"92";"100";".";".";".";"93";".";"84";"88";".";"85";"97";".";".";".";"87";".";"83";"89";".";"85";"91";".";".";".";"87";"3";"74";"96";"72";"92";"72";"92";"276";"187";"70";"71";"68";"93";"88";"87";"AIX-MARSEILLE";"BOUCHES DU RHONE"
"LYCEE GEORGES DUBY";"LUYNES";"0133525L";"13001";"PU";"42";"166";"220";"61";" ";" ";" ";" ";" ";"489";"90";"92";"91";"90";".";".";".";".";".";"91";"97";"96";"95";"89";".";".";".";".";".";"95";"96";"96";"95";"92";".";".";".";".";".";"95";"2";"85";"96";"72";"92";"75";"92";"525";"504";"84";"79";"79";"92";"91";"91";"AIX-MARSEILLE";"BOUCHES DU RHONE"
"LYCEE MAURICE GENEVOIX";"MARIGNANE";"0132410Z";"13054";"PU";"33";"58";"57";"34";" ";" ";" ";" ";" ";"182";"88";"71";"65";"74";".";".";".";".";".";"73";"91";"85";"78";"84";".";".";".";".";".";"84";"85";"81";"80";"84";".";".";".";".";".";"82";"2";"58";"81";"72";"92";"75";"92";"253";"218";"60";"71";"72";"76";"86";"85";"AIX-MARSEILLE";"BOUCHES DU RHONE"
"LYCEE VICTOR HUGO";"MARSEILLE 03";"0130043B";"13203";"PU";"30";"60";"72";"85";" ";"25";" ";" ";" ";"272";"67";"73";"75";"73";".";"68";".";".";".";"72";"77";"59";"64";"75";".";"69";".";".";".";"68";"70";"62";"61";"71";".";"55";".";".";".";"65";"2";"69";"80";"72";"92";"75";"92";"326";"274";"69";"61";"55";"77";"77";"71";"AIX-MARSEILLE";"BOUCHES DU RHONE"
"COURS BASTIDE";"MARSEILLE 06";"0131344R";"13206";"PR";"7";"13";"24";" ";" ";" ";" ";" ";" ";"44";"100";"100";"92";".";".";".";".";".";".";"95";"96";"91";"90";".";".";".";".";".";".";"91";"94";"92";"91";".";".";".";".";".";".";"92";"1";"65";"95";"72";"92";"73";"96";"78";"50";"63";"68";"64";"92";"89";"87";"AIX-MARSEILLE";"BOUCHES DU RHONE"
